"Temperature","ids","Points:0","Points:1","Points:2"
0,1,0,0.5,0
0.1,1,0.001,0.5,0
0.2,1,0.002,0.5,0
0.3,1,0.003,0.5,0
0.4,1,0.004,0.5,0
0.5,1,0.005,0.5,0
0.6,1,0.006,0.5,0
0.7,1,0.007,0.5,0
0.8,1,0.008,0.5,0
0.9,1,0.009,0.5,0
1,1,0.01,0.5,0
1.1,1,0.011,0.5,0
1.2,1,0.012,0.5,0
1.3,1,0.013,0.5,0
1.4,1,0.014,0.5,0
1.5,1,0.015,0.5,0
1.6,1,0.016,0.5,0
1.7,1,0.017,0.5,0
1.8,1,0.018,0.5,0
1.9,1,0.019,0.5,0
2,1,0.02,0.5,0
2.1,1,0.021,0.5,0
2.2,1,0.022,0.5,0
2.3,1,0.023,0.5,0
2.4,1,0.024,0.5,0
2.5,1,0.025,0.5,0
2.6,1,0.026,0.5,0
2.7,1,0.027,0.5,0
2.8,1,0.028,0.5,0
2.9,1,0.029,0.5,0
3,1,0.03,0.5,0
3.1,1,0.031,0.5,0
3.2,1,0.032,0.5,0
3.3,1,0.033,0.5,0
3.4,1,0.034,0.5,0
3.5,1,0.035,0.5,0
3.6,1,0.036,0.5,0
3.7,1,0.037,0.5,0
3.8,1,0.038,0.5,0
3.9,1,0.039,0.5,0
4,1,0.04,0.5,0
4.1,1,0.041,0.5,0
4.2,1,0.042,0.5,0
4.3,1,0.043,0.5,0
4.4,1,0.044,0.5,0
4.5,1,0.045,0.5,0
4.6,1,0.046,0.5,0
4.7,1,0.047,0.5,0
4.8,1,0.048,0.5,0
4.9,1,0.049,0.5,0
5,1,0.05,0.5,0
5.1,1,0.051,0.5,0
5.2,1,0.052,0.5,0
5.3,1,0.053,0.5,0
5.4,1,0.054,0.5,0
5.5,1,0.055,0.5,0
5.6,1,0.056,0.5,0
5.7,1,0.057,0.5,0
5.8,1,0.058,0.5,0
5.9,1,0.059,0.5,0
6,1,0.06,0.5,0
6.1,1,0.061,0.5,0
6.2,1,0.062,0.5,0
6.3,1,0.063,0.5,0
6.4,1,0.064,0.5,0
6.5,1,0.065,0.5,0
6.6,1,0.066,0.5,0
6.7,1,0.067,0.5,0
6.8,1,0.068,0.5,0
6.9,1,0.069,0.5,0
7,1,0.07,0.5,0
7.1,1,0.071,0.5,0
7.2,1,0.072,0.5,0
7.3,1,0.073,0.5,0
7.4,1,0.074,0.5,0
7.5,1,0.075,0.5,0
7.6,1,0.076,0.5,0
7.7,1,0.077,0.5,0
7.8,1,0.078,0.5,0
7.9,1,0.079,0.5,0
8,1,0.08,0.5,0
8.1,1,0.081,0.5,0
8.2,1,0.082,0.5,0
8.3,1,0.083,0.5,0
8.4,1,0.084,0.5,0
8.5,1,0.085,0.5,0
8.6,1,0.086,0.5,0
8.7,1,0.087,0.5,0
8.8,1,0.088,0.5,0
8.9,1,0.089,0.5,0
9,1,0.09,0.5,0
9.1,1,0.091,0.5,0
9.2,1,0.092,0.5,0
9.3,1,0.093,0.5,0
9.4,1,0.094,0.5,0
9.5,1,0.095,0.5,0
9.6,1,0.096,0.5,0
9.7,1,0.097,0.5,0
9.8,1,0.098,0.5,0
9.9,1,0.099,0.5,0
10,1,0.1,0.5,0
10.1,1,0.101,0.5,0
10.2,1,0.102,0.5,0
10.3,1,0.103,0.5,0
10.4,1,0.104,0.5,0
10.5,1,0.105,0.5,0
10.6,1,0.106,0.5,0
10.7,1,0.107,0.5,0
10.8,1,0.108,0.5,0
10.9,1,0.109,0.5,0
11,1,0.11,0.5,0
11.1,1,0.111,0.5,0
11.2,1,0.112,0.5,0
11.3,1,0.113,0.5,0
11.4,1,0.114,0.5,0
11.5,1,0.115,0.5,0
11.6,1,0.116,0.5,0
11.7,1,0.117,0.5,0
11.8,1,0.118,0.5,0
11.9,1,0.119,0.5,0
12,1,0.12,0.5,0
12.1,1,0.121,0.5,0
12.2,1,0.122,0.5,0
12.3,1,0.123,0.5,0
12.4,1,0.124,0.5,0
12.5,1,0.125,0.5,0
12.6,1,0.126,0.5,0
12.7,1,0.127,0.5,0
12.8,1,0.128,0.5,0
12.9,1,0.129,0.5,0
13,1,0.13,0.5,0
13.1,1,0.131,0.5,0
13.2,1,0.132,0.5,0
13.3,1,0.133,0.5,0
13.4,1,0.134,0.5,0
13.5,1,0.135,0.5,0
13.6,1,0.136,0.5,0
13.7,1,0.137,0.5,0
13.8,1,0.138,0.5,0
13.9,1,0.139,0.5,0
14,1,0.14,0.5,0
14.1,1,0.141,0.5,0
14.2,1,0.142,0.5,0
14.3,1,0.143,0.5,0
14.4,1,0.144,0.5,0
14.5,1,0.145,0.5,0
14.6,1,0.146,0.5,0
14.7,1,0.147,0.5,0
14.8,1,0.148,0.5,0
14.9,1,0.149,0.5,0
15,1,0.15,0.5,0
15.1,1,0.151,0.5,0
15.2,1,0.152,0.5,0
15.3,1,0.153,0.5,0
15.4,1,0.154,0.5,0
15.5,1,0.155,0.5,0
15.6,1,0.156,0.5,0
15.7,1,0.157,0.5,0
15.8,1,0.158,0.5,0
15.9,1,0.159,0.5,0
16,1,0.16,0.5,0
16.1,1,0.161,0.5,0
16.2,1,0.162,0.5,0
16.3,1,0.163,0.5,0
16.4,1,0.164,0.5,0
16.5,1,0.165,0.5,0
16.6,1,0.166,0.5,0
16.7,1,0.167,0.5,0
16.8,1,0.168,0.5,0
16.9,1,0.169,0.5,0
17,1,0.17,0.5,0
17.1,1,0.171,0.5,0
17.2,1,0.172,0.5,0
17.3,1,0.173,0.5,0
17.4,1,0.174,0.5,0
17.5,1,0.175,0.5,0
17.6,1,0.176,0.5,0
17.7,1,0.177,0.5,0
17.8,1,0.178,0.5,0
17.9,1,0.179,0.5,0
18,1,0.18,0.5,0
18.1,1,0.181,0.5,0
18.2,1,0.182,0.5,0
18.3,1,0.183,0.5,0
18.4,1,0.184,0.5,0
18.5,1,0.185,0.5,0
18.6,1,0.186,0.5,0
18.7,1,0.187,0.5,0
18.8,1,0.188,0.5,0
18.9,1,0.189,0.5,0
19,1,0.19,0.5,0
19.1,1,0.191,0.5,0
19.2,1,0.192,0.5,0
19.3,1,0.193,0.5,0
19.4,1,0.194,0.5,0
19.5,1,0.195,0.5,0
19.6,1,0.196,0.5,0
19.7,1,0.197,0.5,0
19.8,1,0.198,0.5,0
19.9,1,0.199,0.5,0
20,1,0.2,0.5,0
20.1,1,0.201,0.5,0
20.2,1,0.202,0.5,0
20.3,1,0.203,0.5,0
20.4,1,0.204,0.5,0
20.5,1,0.205,0.5,0
20.6,1,0.206,0.5,0
20.7,1,0.207,0.5,0
20.8,1,0.208,0.5,0
20.9,1,0.209,0.5,0
21,1,0.21,0.5,0
21.1,1,0.211,0.5,0
21.2,1,0.212,0.5,0
21.3,1,0.213,0.5,0
21.4,1,0.214,0.5,0
21.5,1,0.215,0.5,0
21.6,1,0.216,0.5,0
21.7,1,0.217,0.5,0
21.8,1,0.218,0.5,0
21.9,1,0.219,0.5,0
22,1,0.22,0.5,0
22.1,1,0.221,0.5,0
22.2,1,0.222,0.5,0
22.3,1,0.223,0.5,0
22.4,1,0.224,0.5,0
22.5,1,0.225,0.5,0
22.6,1,0.226,0.5,0
22.7,1,0.227,0.5,0
22.8,1,0.228,0.5,0
22.9,1,0.229,0.5,0
23,1,0.23,0.5,0
23.1,1,0.231,0.5,0
23.2,1,0.232,0.5,0
23.3,1,0.233,0.5,0
23.4,1,0.234,0.5,0
23.5,1,0.235,0.5,0
23.6,1,0.236,0.5,0
23.7,1,0.237,0.5,0
23.8,1,0.238,0.5,0
23.9,1,0.239,0.5,0
24,1,0.24,0.5,0
24.1,1,0.241,0.5,0
