Temperature,Points:0,Points:1,Points:2
0,0.5,0,0
0.00034843,0.5,0.001,0
0.00069686,0.5,0.002,0
0.0010453,0.5,0.003,0
0.0013937,0.5,0.004,0
0.0017422,0.5,0.005,0
0.0020906,0.5,0.006,0
0.002439,0.5,0.007,0
0.0027875,0.5,0.008,0
0.0031359,0.5,0.009,0
0.0034843,0.5,0.01,0
0.0038327,0.5,0.011,0
0.0041812,0.5,0.012,0
0.0045296,0.5,0.013,0
0.004878,0.5,0.014,0
0.0052265,0.5,0.015,0
0.0055749,0.5,0.016,0
0.0059233,0.5,0.017,0
0.0062718,0.5,0.018,0
0.0066202,0.5,0.019,0
0.0069686,0.5,0.02,0
0.0073171,0.5,0.021,0
0.0076655,0.5,0.022,0
0.0080139,0.5,0.023,0
0.0083624,0.5,0.024,0
0.0087108,0.5,0.025,0
0.0090592,0.5,0.026,0
0.0094077,0.5,0.027,0
0.0097561,0.5,0.028,0
0.010105,0.5,0.029,0
0.010453,0.5,0.03,0
0.010801,0.5,0.031,0
0.01115,0.5,0.032,0
0.011498,0.5,0.033,0
0.011847,0.5,0.034,0
0.012195,0.5,0.035,0
0.012544,0.5,0.036,0
0.012892,0.5,0.037,0
0.01324,0.5,0.038,0
0.013589,0.5,0.039,0
0.013937,0.5,0.04,0
0.014286,0.5,0.041,0
0.014634,0.5,0.042,0
0.014983,0.5,0.043,0
0.015331,0.5,0.044,0
0.015679,0.5,0.045,0
0.016028,0.5,0.046,0
0.016376,0.5,0.047,0
0.016725,0.5,0.048,0
0.017073,0.5,0.049,0
0.017422,0.5,0.05,0
0.01777,0.5,0.051,0
0.018118,0.5,0.052,0
0.018467,0.5,0.053,0
0.018815,0.5,0.054,0
0.019164,0.5,0.055,0
0.019512,0.5,0.056,0
0.019861,0.5,0.057,0
0.020209,0.5,0.058,0
0.020557,0.5,0.059,0
0.020906,0.5,0.06,0
0.021254,0.5,0.061,0
0.021603,0.5,0.062,0
0.021951,0.5,0.063,0
0.0223,0.5,0.064,0
